name,functions,color,precision,company,productURL,photoURL,oversampling,favorite,rating,status,notes
TITANIUM3BASSTARD,,,,Acoustica Audio,https://www.kvraudio.com/product/basstard-by-acustica-audio,Acoustica-Audio_TITANIUM3BASSTARD.png,FALSE,TRUE,3,Active,"Titanium%20BASSTard%20rhymes%20with%20low%20end.%20It%20is%20completely%20free,%20superbly%20easy%20to%20use%20and%20is%20derived%20directly%20from%20the%20EQ%20module%20of%20our%20Titanium%20dreamware%20suite.%20BASSTard%20helps%20you%20shape%20the%20low%20end%20of%20your%20recorded%20tracks%20with%20character%20and%20attitude.%20Definitely%20not%20for%20mastering%20engineers.%20Absolutely%20perfect%20for%20serial%20sound%20manglers%20who%20want%20their%20low%20end%20to%20be%20as%20full%20as%20a%20stuffed%20turkey."
trapdrive,,,,Diginoiz,https://audioplugin.deals/trapdrive-by-diginoiz/,Diginoiz_trapdrive.png,FALSE,-,3,Active,"Perfect%20for%20distorting%20808/Bass%20type%20sounds,%20great%20on%20vocals,%20very%20suitable%20for%20crushing%20guitars%20and%20making%20synths%20more%20exciting.%20And%20if%20you%20feel%20brave%20enough%20you%20can%20use%20it%20on%20the%20whole%20buses,%20or%20even%20mixes!%0A%0ATrap%20Drive%20has%208%20types%20of%20distortion%20you%20can%20choose%20from%20basing%20on%20such%20operations%20as%20arctan%20function,%20hard%20clipping,%20bipolar%20exponential,%20unipolar%20exponential,%20bit%20crushing%20and%20some%20more%20that%20only%20our%20programmer%20can%20denominate,%20but%20do%20you%20really%20care%20about%20the%20theory?"
Tremolator,,,,Soundtoys,https://www.soundtoys.com/product/,Soundtoys_Tremolator.png,FALSE,TRUE,4,Active,-
TrueVerb,,,,Waves,https://www.waves.com/plugins/trueverb#using-trueverb-for-creative-reverb-effects,Waves_TrueVerb.png,FALSE,-,3,Active,-
tuner,,,,Brainworx,https://brainworx.audio/products.html,Brainworx_tuner.png,FALSE,-,3,Active,-
TuPRE,,,,Analog Obsession,https://www.patreon.com/posts/tupre-40079199,Analog-Obsession_TuPRE.png,TRUE,-,3,Active,It's%20tube%20line%20amp%20with%20custom%20passive%20program%20equalizer.%20Colorful%20and%20solid%20design%20for%20you!%0A%0ANot%20emulating%20any%20gear.%20Fully%20custom%20design.%20Simple%20but%20really%20effective%20for%20any%20source.
TyrellN6,,,,U-he,https://u-he.com/products/tyrelln6/,U-he_TyrellN6.png,FALSE,-,3,Active,"TyrellN6:%20Classic%20racer%20with%20u-he%20engine%0A%0ATyrellN6%20is%20a%20compact,%20sporty%20synth.%20Based%20on%20concepts%20and%20ideas%20for%20a%20hardware%20synth:%20a%20few%20modules,%20novel%20features,%20analogue%20sound%20and%20low-cost.%20TyrellN6%20is%20the%20software%20version%20manifestation%20of%20these%20i"
UltraPitch,,,,Waves,https://www.waves.com/plugins/ultrapitch,Waves_UltraPitch.png,FALSE,-,3,Active,-
Unfiltered Audio Sandman Pro,,,,Unfiltered Audio,https://www.plugin-alliance.com/en/products/unfiltered_audio_sandman_pro.html,Unfiltered-Audio_Unfiltered-Audio-Sandman-Pro.png,FALSE,TRUE,4,Active,"The%20new%20Sandman%20Pro%20adds%20seven%20new%20delay%20modes%EF%BF%BD%20each%20fitted%20with%20its%20own%20set%20of%20adjustable%20controls%EF%BF%BDthat%20greatly%20expand%20its%20sonic%20palette%20while%20driving%20maximum%20delay%20times%20to%20a%20staggering%2016%20minutes.%20Use%20Classic%20Tape%20mode%20to%20lather%20echoes,%20loops%20and%20grains%20with%20virtual%20tape%20saturation,%20wow%20and%20flutter.%20The%20artifact-free%20Multi-Tap%20mode%20gives%20you%20a%20whopping%2016%20simultaneous%20delay%20lines%20to%20bless%20vocals%20and%20guitar%20solos%20with%20mammoth%20doubling%20and%20stadium-size%20echo%20effects.%20Use%20the%20ultra-smooth%20Reverse%20mode%20to%20produce%20click-free,%20haunting%20reverse%20echoes.%20Unlike%20with%20using%20other%20delays,%20you%20can%20modulate%20Sandman%20Pro's%20delay%20time%20in%20Modern%20Instant%20mode%20without%20producing%20audible%20pitch%20artifacts%EF%BF%BDgreat%20for%20cleanly%20transitioning%20vocal%20effects%20from%20doubling%20to%20echo%20trails%20at%20the%20end%20of%20a%20phrase."
UVIWorkstation,,,,Uvi,https://www.uvi.net/uvi-workstation.html,Uvi_UVIWorkstation.png,FALSE,TRUE,4,Active,"A%20completely%20free%20multitimbral%20instrument%20that%20provides%20integrated%20effects%20and%20arpeggiator,%20unlimited%20parts,%20live%20performance%20features,%20and%20a%20smooth%20real-time%20workflow,%20UVI%20Workstation%20is%20our%20powerful%20sample%20player%20and%20more.%20With%20over%2015%20years%20of%20development%20under%20the%20hood,%20UVI%20Workstation%20is%20a%20tested,%20proven%20and%20trusted%20industry%20staple.%20We%20continue%20this%20journey%20with%20Version%203,%20focused%20on%20creating%20an%20even%20more%20optimized%20workflow%20by%20bringing%20in%20a%20new%20UI%20design,%20Favorites%20tagging,%20and%20UI%20scaling%20to%20adapt%20to%20all%20user%20screens."
