name,functions,color,precision,company,productURL,photoURL,oversampling,favorite,rating,status,"notes"
InPhase,,,,Waves,https://www.waves.com/plugins/inphase-lt,https://img.wavescdn.com/1lib/images/products/plugins/preview/inphase-lt.png,false,-,3,Active,"-"
IR-L Convolution Reverb,,,,Waves,https://www.waves.com/plugins/ir-l-convolution-reverb,https://img.wavescdn.com/1lib/images/products/plugins/preview/ir-l-convolution-reverb.png,false,-,3,Active,"-"
IVGI2,,,,Klanghelm,https://klanghelm.com/contents/products/IVGI.php,https://klanghelm.com/assets/img/IVGI/IVGI.jpg,true,true,4,Active,"IVGI%20can%20deliver%20very%20soft%20and%20subtle%20saturation,%20that%20feels%20at%20home%0Aon%20the%20master%20buss.%20It%20is%20equally%20capable%20of%20very%20dense%20and%20dirty%0Adistortion%20effects%20to%20spice%20up%20single%20tracks.%20IVGI's%20base%20sound%20is%20comparable%20to%20the%20DESK%20mode%20in%20the%20big%20brother%20SDRR."
iZotope BreakTweaker,,,,Izotope,https://www.izotope.com/en/products/breaktweaker.html,https://www.izotope.com/en/products/breaktweaker/_jcr_content/root/flexcontainer/sectioncontainer_146/flexcontainer/teaser/image.coreimg.82.1280.jpeg/1643207302753/breaksteaker-side-by-sides-high-res-beat-editing.jpeg,false,-,4,Active,"An%20all-new%20approach%20to%20the%20classic%20drum%20machine%0AMake%20beats%20you've%20never%20heard%20before.%20Blend%20drum%20samples%20with%20robust%20synthesis%20features%20to%20generate%20compelling%20hybrid%20sounds%20and%20even%20melodies.%20Built%20on%20a%20futuristic%20MicroEdit%20Engine,%20BreakTweaker%20turns%20everything%20you%20know%20about%20rhythm%20on%20its%20head.%20Explore%20a%20new%20era%20of%20rhythmic%20possibilities%20with%20this%20forward-thinking%20and%20forward-sounding%20instrument!"
iZotope Iris 2,,,,Izotope,https://www.izotope.com/en/shop/iris-2.html,https://www.izotope.com/content/dam/izo/product-web-tour/iris/iris-2/pdp/iris-2-main-interface.png,true,-,4,Active,"Iris%202%20is%20iZotope%EF%BF%BDs%20inspiring%20sample-based%20synthesizer%20with%20the%20power%20of%20a%20sampler,%20the%20flexibility%20of%20a%20traditional%20synth,%20and%20the%20fun%20of%20spectral%20filtering%EF%BF%BDor,%20select%20from%20hundreds%20of%20expertly%20crafted%20Bass,%20Keys,%20Leads,%20Pads,%20and%20Rhythmic%20patches."
iZotope Trash 2,,,,Izotope,https://www.izotope.com/en/shop/trash-2.html,https://www.izotope.com/content/dam/izo/learn/2020/q2/4-ways-to-add-augment-or-excite-upper-harmonics/19-trash-2-vocal.png,false,true,3,Active,"Trash%202%20offers%20dual%20distortion%20modules%20and%20a%20slew%20of%20multi-effects%20for%20creative,%20uninhibited%20music%20production%20and%20sound%20design.%20Chain%20two%20distortion%20algorithms%20in%20each%20frequency%20band%20for%20up%20to%208%20different%20flavors%20of%20destruction.%20Choose%20from%20over%20100%20impulse%20responses%20with%20the%20Convolve%20module,%20explore%20new%20sonic%20dimensions%20with%20the%20Delay%20and%20Dynamics%20modules,%20or%20add%20movement%20to%20your%20audio%20using%202%20Filters,%20each%20with%2020+%20evocative%20filter%20types%20to%20shape%20your%20tone."
JAMP,,,,Analog Obsession,https://www.patreon.com/posts/jamp-34306450,https://c10.patreonusercontent.com/4/patreon-media/p/post/34306450/39908ce5d88d4175801ed4e01c18ab93/eyJ3Ijo2MjB9/1.png?token-time=1657756800&token-hash=3YHxAkX-38M9XgrEMR0D4iL6c8ZZle4ob33HAwgnVqI%3D,false,-,3,Active,"JTM45%20guitar%20amp%20in%20a%20box!%0A%0A31/7/2021%20-%20v2.0%20Update%0A%0A-%20Improved%20DSP%20and%20circuit%20design%0A%0A-%20Readout%20for%20knobs%0A%0A-%20Redesigned%20GUI%0A%0A-%20Catalina%20&%20Big%20Sur(Intel/M1)%20support"
JET,,,,Acoustica Audio,https://www.acustica-audio.com/store/products/jetvolumea,https://www.acustica-audio.com/system/akfp/file_entries/files/000/002/201/original/nwImage20220622091503.png?1655882162,false,-,3,Active,"Jet%20is%20the%20ultimate,%20all-new,%20dynamic%20equalizer%20plugin%20suite.%201-%20Jet;%20A%20FREE%20player/plugin%20designed%20primarily%20for%20bus%20purposes.%0A%0A2-%20Jet%20Mix;%20A%20FREE%20player/plugin%20designed%20primarily%20for%20mix%20purposes.%0A%0AJet%20and%20Jet%20Mix%20include%20three%20different%20eq%20models%20for%20the%20DYNAMIC%20EQ%20section%20by%20default.%0A%0A1%20sampled%20EQ,%20a%20set%20of%20selected%20LF%20and%20HF%20band%20frequencies%20derived%20from%20our%20renowned%20Eminence%20Acqua%20plugin.%20Frequencies:%0A%20-%20LF:%2020Hz,%2040Hz,%2080Hz,%20160Hz.%0A%20-%20HF:%207kHz,%2010kHz,%2015kHz,%2020kHz.%0A%20%0A2%20algorithmic%20EQs%20with%20a%20set%20of%20selected%20LF%20and%20HF%20band%20frequencies%20called%20%EF%BF%BDDIGITAL%20SHELF%EF%BF%BD%20and%20%EF%BF%BDDIGITAL%20SHELF%20HQ%202X%EF%BF%BD.%0AFrequencies:%0A%20-%20LF:%2020%20Hz,%2028%20Hz,%2040%20Hz,%2060%20Hz,%2080%20Hz,%20120%20Hz,%20170%20Hz,%20240%20Hz,%20350%20Hz,%20490%20Hz,%20700Hz.%0A%20-%20HF:%20700Hz,%20960Hz,%201.32kHz,%201800,%202.5kHz,%203.5kHz,%204.75kHz,%206.5kHz,%209kHz,%2012.5kHz,%2017kHz."
JETMIX,,,,Acoustica Audio,https://www.acustica-audio.com/store/products/jetvolumea,https://www.acustica-audio.com/system/akfp/file_entries/files/000/002/201/original/nwImage20220622091503.png?1655882162,false,-,3,Active,"%22Jet%20is%20the%20ultimate,%20all-new,%20dynamic%20equalizer%20plugin%20suite.%201-%20Jet;%20A%20FREE%20player/plugin%20designed%20primarily%20for%20bus%20purposes.%0A%0A2-%20Jet%20Mix;%20A%20FREE%20player/plugin%20designed%20primarily%20for%20mix%20purposes.%0A%0AJet%20and%20Jet%20Mix%20include%20three%20different%20eq%20models%20for%20the%20DYNAMIC%20EQ%20section%20by%20default.%0A%0A1%20sampled%20EQ,%20a%20set%20of%20selected%20LF%20and%20HF%20band%20frequencies%20derived%20from%20our%20renowned%20Eminence%20Acqua%20plugin.%20Frequencies:%0A%20-%20LF:%2020Hz,%2040Hz,%2080Hz,%20160Hz.%0A%20-%20HF:%207kHz,%2010kHz,%2015kHz,%2020kHz.%0A%20%0A2%20algorithmic%20EQs%20with%20a%20set%20of%20selected%20LF%20and%20HF%20band%20frequencies%20called%20%EF%BF%BDDIGITAL%20SHELF%EF%BF%BD%20and%20%EF%BF%BDDIGITAL%20SHELF%20HQ%202X%EF%BF%BD.%0AFrequencies:%0A%20-%20LF:%2020%20Hz,%2028%20Hz,%2040%20Hz,%2060%20Hz,%2080%20Hz,%20120%20Hz,%20170%20Hz,%20240%20Hz,%20350%20Hz,%20490%20Hz,%20700Hz.%0A%20-%20HF:%20700Hz,%20960Hz,%201.32kHz,%201800,%202.5kHz,%203.5kHz,%204.75kHz,%206.5kHz,%209kHz,%2012.5kHz,%2017kHz.%22"
JV-XP Editor-DUP.vst,,,,Ctrlr,https://ctrlr.org/jv-xp-editor-for-roland-jv1080-jv2080-xp30-xp50-and-xp80-series-synthesizers/,http://ctrlr.org/wp-content/uploads/2018/03/JV-XP-Editor_2-768x534.png,false,-,3,Active,"-"
